danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.463,0.452,6.0,-8.399,0.0,0.0482,0.434,0.00272,0.105,0.273,147.063,audio_features,1Ei4zpxxnSwlDpg2IPud8k,spotify:track:1Ei4zpxxnSwlDpg2IPud8k,https://api.spotify.com/v1/tracks/1Ei4zpxxnSwlDpg2IPud8k,https://api.spotify.com/v1/audio-analysis/1Ei4zpxxnSwlDpg2IPud8k,220000.0,4.0,
0.518,0.234,3.0,-14.53,1.0,0.0366,0.752,5.49e-05,0.119,0.219,89.78,audio_features,2zACngWoISSXjsktBrUi3Q,spotify:track:2zACngWoISSXjsktBrUi3Q,https://api.spotify.com/v1/tracks/2zACngWoISSXjsktBrUi3Q,https://api.spotify.com/v1/audio-analysis/2zACngWoISSXjsktBrUi3Q,309394.0,4.0,
0.368,0.436,7.0,-8.214,1.0,0.0308,0.587,0.0,0.0819,0.537,157.142,audio_features,23nSNRlrYmXsFnPL6CL89a,spotify:track:23nSNRlrYmXsFnPL6CL89a,https://api.spotify.com/v1/tracks/23nSNRlrYmXsFnPL6CL89a,https://api.spotify.com/v1/audio-analysis/23nSNRlrYmXsFnPL6CL89a,216360.0,4.0,
0.625,0.3,2.0,-10.328,1.0,0.0327,0.585,0.00696,0.125,0.311,98.519,audio_features,5cMCHzzILV2CCTPfZhlaWC,spotify:track:5cMCHzzILV2CCTPfZhlaWC,https://api.spotify.com/v1/tracks/5cMCHzzILV2CCTPfZhlaWC,https://api.spotify.com/v1/audio-analysis/5cMCHzzILV2CCTPfZhlaWC,209613.0,4.0,
0.519,0.462,11.0,-7.153,1.0,0.0318,0.539,0.0,0.183,0.516,139.676,audio_features,6nNuWzPSGPZxgvQSNj9PfQ,spotify:track:6nNuWzPSGPZxgvQSNj9PfQ,https://api.spotify.com/v1/tracks/6nNuWzPSGPZxgvQSNj9PfQ,https://api.spotify.com/v1/audio-analysis/6nNuWzPSGPZxgvQSNj9PfQ,187539.0,4.0,
0.531,0.245,4.0,-7.491,1.0,0.0292,0.417,0.0,0.152,0.156,134.933,audio_features,5zswblrM7mdQE0wjn2y9jv,spotify:track:5zswblrM7mdQE0wjn2y9jv,https://api.spotify.com/v1/tracks/5zswblrM7mdQE0wjn2y9jv,https://api.spotify.com/v1/audio-analysis/5zswblrM7mdQE0wjn2y9jv,197375.0,3.0,
0.562,0.482,9.0,-10.047,0.0,0.0294,0.0807,0.00112,0.15,0.481,78.003,audio_features,3wdWqXa4F61zSSlQdcKpQ2,spotify:track:3wdWqXa4F61zSSlQdcKpQ2,https://api.spotify.com/v1/tracks/3wdWqXa4F61zSSlQdcKpQ2,https://api.spotify.com/v1/audio-analysis/3wdWqXa4F61zSSlQdcKpQ2,202106.0,4.0,
0.423,0.646,9.0,-6.932,1.0,0.028,0.0827,0.0332,0.191,0.262,79.959,audio_features,5sAtyxqVKvDG01xuc2tTak,spotify:track:5sAtyxqVKvDG01xuc2tTak,https://api.spotify.com/v1/tracks/5sAtyxqVKvDG01xuc2tTak,https://api.spotify.com/v1/audio-analysis/5sAtyxqVKvDG01xuc2tTak,197710.0,4.0,
0.485,0.366,2.0,-8.373,1.0,0.0265,0.354,1.52e-05,0.141,0.223,130.866,audio_features,5yjRnZHSjhLkVFad8GOTKV,spotify:track:5yjRnZHSjhLkVFad8GOTKV,https://api.spotify.com/v1/tracks/5yjRnZHSjhLkVFad8GOTKV,https://api.spotify.com/v1/audio-analysis/5yjRnZHSjhLkVFad8GOTKV,164897.0,4.0,
0.561,0.59,0.0,-4.068,1.0,0.0324,0.263,4.77e-05,0.187,0.371,130.759,audio_features,78HJF6XcyRb0wC11ld1M6l,spotify:track:78HJF6XcyRb0wC11ld1M6l,https://api.spotify.com/v1/tracks/78HJF6XcyRb0wC11ld1M6l,https://api.spotify.com/v1/audio-analysis/78HJF6XcyRb0wC11ld1M6l,143927.0,4.0,
