name,id,artist_popularity,artist_genre,artist_track,likable
The Macarons Project,61VZakASLH5PweMQzF7R8r,62,['indonesian lo-fi pop'],61VZakASLH5PweMQzF7R8r,1
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,92,"['permanent wave', 'pop']",4gzpq5DPGxSnKTe4SA8HAU,1
Coleman Hell,3q9nybxzbSHsesDBHUlP4c,53,"['canadian pop', 'indie poptimism', 'pop rock']",3q9nybxzbSHsesDBHUlP4c,1
Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,73,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']",4dwdTW1Lfiq0cM8nBAqIIz,1
Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,83,"['bedroom pop', 'pop']",7pbDxGE6nQSZVfiFdq9lOL,1
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,83,['alternative hip hop'],3AA28KZvwAUcZuOKwyblJQ,1
Semisonic,1TqQi97nqeiuOJrIFv5Sw0,63,"['neo mellow', 'pop rock']",1TqQi97nqeiuOJrIFv5Sw0,1
Magic City Hippies,1ikg4sypcURm8Vy5GP68xb,56,"['miami indie', 'modern rock', 'vapor soul']",1ikg4sypcURm8Vy5GP68xb,1
"Slaughter Beach, Dog",3lWVgSwutPsiJ8Awm7OTKU,56,"['alternative emo', 'anti-folk', 'bubblegrunge', 'emo', 'indie pop', 'indie rock', 'lo-fi emo', 'midwest emo', 'small room']",3lWVgSwutPsiJ8Awm7OTKU,1
DJ Snake,540vIaP2JwjQb9dm3aArA4,82,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",540vIaP2JwjQb9dm3aArA4,1
Atta Boy,3RcaUsjj5gt1x2QK3TSNS2,45,"['deep new americana', 'indie pop']",3RcaUsjj5gt1x2QK3TSNS2,1
Nas,20qISvAhX20dpIbOOzGK3q,78,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",20qISvAhX20dpIbOOzGK3q,1
