danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.295,0.766,4,-6.126,0,0.114,0.00913,0.599,0.228,0.397,99.656,audio_features,2HGB6bGNw1l4l3kM9ITTun,spotify:track:2HGB6bGNw1l4l3kM9ITTun,https://api.spotify.com/v1/tracks/2HGB6bGNw1l4l3kM9ITTun,https://api.spotify.com/v1/audio-analysis/2HGB6bGNw1l4l3kM9ITTun,158307,5
0.606,0.816,2,-7.032,1,0.0393,0.0114,7.34e-05,0.382,0.904,111.046,audio_features,0KTFB411Nvrwflq2hedtAY,spotify:track:0KTFB411Nvrwflq2hedtAY,https://api.spotify.com/v1/tracks/0KTFB411Nvrwflq2hedtAY,https://api.spotify.com/v1/audio-analysis/0KTFB411Nvrwflq2hedtAY,192853,4
0.315,0.388,11,-9.065,0,0.0413,0.882,0.00019,0.143,0.151,134.936,audio_features,75l9PPu6FALJl6GhQtzXqv,spotify:track:75l9PPu6FALJl6GhQtzXqv,https://api.spotify.com/v1/tracks/75l9PPu6FALJl6GhQtzXqv,https://api.spotify.com/v1/audio-analysis/75l9PPu6FALJl6GhQtzXqv,570160,4
0.462,0.384,8,-10.823,0,0.0754,0.407,0.0108,0.218,0.203,121.844,audio_features,4m8xPh4rEM3UBkyyRYLkDz,spotify:track:4m8xPh4rEM3UBkyyRYLkDz,https://api.spotify.com/v1/tracks/4m8xPh4rEM3UBkyyRYLkDz,https://api.spotify.com/v1/audio-analysis/4m8xPh4rEM3UBkyyRYLkDz,188949,4
0.443,0.654,4,-8.019,1,0.0418,0.673,0.00904,0.182,0.445,149.784,audio_features,4JMoY95CgSnYZuBm1Ns1L1,spotify:track:4JMoY95CgSnYZuBm1Ns1L1,https://api.spotify.com/v1/tracks/4JMoY95CgSnYZuBm1Ns1L1,https://api.spotify.com/v1/audio-analysis/4JMoY95CgSnYZuBm1Ns1L1,326440,4
0.66,0.679,9,-7.887,0,0.0364,0.15,0.72,0.321,0.42,108.957,audio_features,3GVgV3kzXfDGGTsv8yNn5k,spotify:track:3GVgV3kzXfDGGTsv8yNn5k,https://api.spotify.com/v1/tracks/3GVgV3kzXfDGGTsv8yNn5k,https://api.spotify.com/v1/audio-analysis/3GVgV3kzXfDGGTsv8yNn5k,255653,4
0.252,0.291,2,-10.884,1,0.0393,0.86,0.00425,0.111,0.462,79.465,audio_features,2hirxMLX6kpkbbKPgJzDqD,spotify:track:2hirxMLX6kpkbbKPgJzDqD,https://api.spotify.com/v1/tracks/2hirxMLX6kpkbbKPgJzDqD,https://api.spotify.com/v1/audio-analysis/2hirxMLX6kpkbbKPgJzDqD,204080,4
0.392,0.128,1,-13.633,1,0.0384,0.989,0.0231,0.119,0.374,169.392,audio_features,6uEnlqfOk9AzevDqWBph6y,spotify:track:6uEnlqfOk9AzevDqWBph6y,https://api.spotify.com/v1/tracks/6uEnlqfOk9AzevDqWBph6y,https://api.spotify.com/v1/audio-analysis/6uEnlqfOk9AzevDqWBph6y,212467,4
0.574,0.405,8,-6.361,1,0.0443,0.477,0.000158,0.136,0.166,120.077,audio_features,41xNR0pxMU5GNDHV461KhC,spotify:track:41xNR0pxMU5GNDHV461KhC,https://api.spotify.com/v1/tracks/41xNR0pxMU5GNDHV461KhC,https://api.spotify.com/v1/audio-analysis/41xNR0pxMU5GNDHV461KhC,233673,4
0.295,0.427,5,-11.143,1,0.0367,0.974,0.637,0.493,0.118,74.601,audio_features,3AfABYJ07qXoXGuV3vx6MF,spotify:track:3AfABYJ07qXoXGuV3vx6MF,https://api.spotify.com/v1/tracks/3AfABYJ07qXoXGuV3vx6MF,https://api.spotify.com/v1/audio-analysis/3AfABYJ07qXoXGuV3vx6MF,223000,4
