acousticness,danceability,duration_ms,energy,id,instrumentalness,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,likable,liveness,loudness,mode,speechiness,tempo,time_signature_0time_signature_1time_signature_3,time_signature_3,time_signature_4,time_signature_5,time_signature_6,time_signature_7valence,valence
0.00214,0.494,221493,0.915,4xy9nsO8EX4OR0c6lf0WFu,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.11,-3.795,1,0.0583,100.133,0,0,1,0,0,0,0.607
0.0195,0.299,221053,0.754,6NaBDHz9C7Uz9Z9CwLXQin,1.3e-06,0,0,0,0,0,0,1,0,0,0,0,1,0.103,-4.078,0,0.0732,169.373,0,0,1,0,0,0,0.295
0.00701,0.578,199080,0.866,4kbj5MwxO1bq9wjT5g9HaA,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0.257,-3.804,1,0.0619,128.038,0,0,1,0,0,0,0.619
0.0137,0.612,136093,0.659,4anqYZt4APNlFwQixpbdZR,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0.417,-6.995,0,0.406,99.137,0,0,1,0,0,0,0.393
0.413,0.482,216330,0.819,0bu5JByHKJbZELYKw0vCnN,0.000646,0,0,1,0,0,0,0,0,0,0,0,1,0.0621,-4.563,1,0.246,95.951,0,0,1,0,0,0,0.817
0.0558,0.668,180320,0.491,1lLGOHbOgsrJ2tFQYKNK44,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,-8.997,0,0.111,74.028,0,0,1,0,0,0,0.49
0.0261,0.636,266397,0.703,4POCRz9y99h0byT7T3LDYd,6.5e-06,0,1,0,0,0,0,0,0,0,0,0,1,0.13,-8.608,1,0.0403,132.022,0,0,1,0,0,0,0.397
0.274,0.726,214280,0.484,0TGTE9TEh9qzuFwmtRNICn,2.44e-06,0,0,0,1,0,0,0,0,0,0,0,1,0.0874,-6.707,0,0.0477,62.493,0,0,1,0,0,0,0.561
0.0025,0.495,244293,0.931,53L6A3I9vf7rgEZnMzx54E,0.0783,0,0,0,1,0,0,0,0,0,0,0,1,0.246,-5.336,0,0.0469,104.05,0,0,1,0,0,0,0.617
0.874,0.516,394507,0.199,5IF2jZnQd8FMZtZjbV3MDS,4.93e-06,0,0,0,0,0,0,0,0,1,0,0,1,0.108,-9.541,1,0.0402,105.622,0,0,1,0,0,0,0.575
0.00219,0.605,243800,0.789,38psZM2gA6UWA7rqqgOjGL,0.0178,0,0,0,0,0,1,0,0,0,0,0,1,0.127,-7.035,0,0.0338,136.041,0,0,1,0,0,0,0.434
0.0158,0.575,196533,0.694,3YQ96qkxiEwTLwgu2Izcmq,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0.108,-5.674,1,0.0709,77.537,0,0,1,0,0,0,0.442
0.0443,0.5,252853,0.811,6eN9yBWv9zFVZFXGsPrMxj,0.00508,0,0,0,0,0,0,0,0,1,0,0,1,0.12,-5.287,1,0.096,150.023,0,0,1,0,0,0,0.228
0.752,0.586,242867,0.301,1hqdpmcEfqzE7h9Dq6G2aw,7.64e-06,0,0,0,0,0,0,0,0,1,0,0,1,0.131,-9.537,1,0.0358,103.908,0,0,1,0,0,0,0.418
0.445,0.68,163880,0.693,36tghkPg1AO4HsAzo6YpPp,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.208,-7.234,1,0.0435,114.948,0,0,1,0,0,0,0.851
0.301,0.6,271441,0.968,6JugKFXssO9L2tN8omeTPt,1.88e-06,0,0,0,0,0,0,0,1,0,0,0,1,0.19,-2.444,1,0.0329,123.019,0,0,1,0,0,0,0.635
0.888,0.699,226427,0.395,0BGM5wPT4L0KNKrf3WsMkn,2.76e-05,0,0,0,0,0,0,0,0,1,0,0,1,0.101,-7.665,1,0.0371,138.164,0,0,1,0,0,0,0.697
0.000973,0.647,217493,0.71,0kHwTHf8ye0mSd66pwcrEN,0.703,0,0,0,0,0,0,0,0,0,0,0,1,0.0777,-4.692,1,0.029,110.059,0,0,1,0,0,0,0.268
0.474,0.448,223624,0.459,3RbLZdvXcHcwhduVDLD3r2,7.5e-05,0,0,0,0,0,0,0,0,1,0,0,1,0.122,-9.485,1,0.0279,72.541,0,0,1,0,0,0,0.177
0.0124,0.541,187653,0.814,4BCoS3K75lpvph7Lu00iKY,0.000154,0,0,0,0,0,0,0,1,0,0,0,1,0.28,-7.586,0,0.0538,80.014,0,0,1,0,0,0,0.414
0.288,0.392,354320,0.402,7tFiyTwD0nx5a1eklYtX2J,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.243,-9.961,0,0.0536,143.883,0,0,1,0,0,0,0.228
0.42,0.849,218413,0.6,7tBZa65xUKMMan9tIMPqbi,8.72e-06,0,0,0,0,0,0,0,1,0,0,0,1,0.108,-5.682,0,0.0319,110.02,0,0,1,0,0,0,0.965
0.193,0.579,190947,0.904,1rqqCSm0Qe4I9rUvWncaom,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0.064,-2.729,1,0.0618,82.014,0,0,1,0,0,0,0.681
0.000342,0.537,179813,0.882,1pHP4JeQV9wDx87D6qH9hD,9.06e-05,0,0,0,0,0,0,0,0,0,0,0,1,0.12,-2.306,1,0.0403,145.729,0,0,1,0,0,0,0.81
0.892,0.717,198907,0.282,6jBbbCvTCQKKaLgzucpnTb,0.00201,1,0,0,0,0,0,0,0,0,0,0,1,0.11,-14.241,1,0.0349,116.107,0,0,1,0,0,0,0.612
0.132,0.454,234800,0.82,0UV5zxRMz6AO4ZwUOZNIKI,0.000969,0,0,0,1,0,0,0,0,0,0,0,1,0.115,-4.193,1,0.0567,166.303,0,0,1,0,0,0,0.575
0.211,0.693,182000,0.392,4r3BiHctyraj2y4meUgq8V,0.357,0,0,0,0,0,0,0,0,0,1,0,1,0.128,-10.69,1,0.0295,119.973,0,0,1,0,0,0,0.0811
0.662,0.476,208853,0.592,4bAGyoGIkQjroPMi06Lif6,0.000123,0,0,0,0,0,0,0,0,1,0,0,1,0.183,-8.852,1,0.032,96.047,0,0,1,0,0,0,0.371
0.217,0.539,168760,0.836,40rjypnguxfhPy4Bbv5SWc,0.000168,0,0,1,0,0,0,0,0,0,0,0,1,0.303,-5.365,1,0.0654,135.596,0,0,1,0,0,0,0.759
0.00257,0.515,209558,0.869,4z9Q8bigTEySh8PVNQ3gem,2.01e-06,0,0,1,0,0,0,0,0,0,0,0,1,0.21,-4.732,1,0.0672,93.24,0,0,1,0,0,0,0.452
0.854,0.759,271667,0.212,6jJm5ar849nIzCIcM403ok,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.322,-14.038,1,0.0379,108.03,0,0,1,0,0,0,0.548
0.191,0.558,213547,0.889,25ran9X0iBOYnxFdP6c28n,0.000387,0,0,0,0,0,0,0,0,0,1,0,1,0.328,-3.945,1,0.102,170.102,0,0,1,0,0,0,0.716
0.00193,0.651,179533,0.823,2HYaqJitHc9qiG68vc0JIm,5.77e-05,1,0,0,0,0,0,0,0,0,0,0,1,0.172,-5.148,0,0.0282,112.148,0,0,1,0,0,0,0.817
0.726,0.714,266907,0.306,0ZNYGrmcehorhh9JOeg5Iv,0.168,0,0,0,0,0,0,0,1,0,0,0,1,0.0924,-12.111,1,0.0388,129.984,0,0,1,0,0,0,0.314
0.223,0.525,233333,0.875,4gehZ6WYqLOXZpmMEq3Em9,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0915,-6.488,1,0.129,151.814,0,0,1,0,0,0,0.766
0.0779,0.437,215907,0.717,6sbE8RyxI6oj54IijF6dLE,0.00274,0,0,0,0,0,0,0,0,0,0,0,1,0.108,-4.803,1,0.039,178.085,0,0,1,0,0,0,0.547
0.805,0.6,309267,0.399,7BgiepZSWIMyv40QKffMec,0.000798,0,1,0,0,0,0,0,0,0,0,0,1,0.153,-9.239,1,0.0537,113.293,0,0,1,0,0,0,0.417
0.0983,0.632,342173,0.586,5SAUIWdZ04OxYfJFDchC7S,0.581,0,0,0,0,0,0,0,0,0,0,0,1,0.0535,-11.333,1,0.0284,114.243,0,0,1,0,0,0,0.89
0.0122,0.536,209040,0.923,1bhjMY5O0ZjB41OHcdRH0a,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0.142,-3.494,1,0.125,160.03,0,0,1,0,0,0,0.77
0.0323,0.68,210634,0.799,44906V2WC6k59u06A8CO9D,0.0459,0,0,0,0,0,0,0,0,0,1,0,1,0.123,-5.805,0,0.0347,120.031,0,0,1,0,0,0,0.744
0.901,0.519,182357,0.288,2iQ3Cq8nsYSoREHfAmCpnc,4.23e-05,0,0,0,1,0,0,0,0,0,0,0,1,0.106,-8.026,1,0.0353,127.931,0,1,0,0,0,0,0.319
0.0489,0.599,215853,0.691,3jp7Ryj1sX3riA7NQaVlLd,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0.0835,-4.571,1,0.0301,131.578,0,0,1,0,0,0,0.729
5.62e-05,0.468,212805,0.971,0tjlyJFd2rQZGpJfDElxrU,0.000142,0,0,0,0,1,0,0,0,0,0,0,1,0.316,-3.461,1,0.047,164.118,0,0,1,0,0,0,0.627
0.942,0.774,251533,0.503,6JXhaWfyUr1EwFK01GM2or,0.01,0,1,0,0,0,0,0,0,0,0,0,1,0.112,-9.82,1,0.0767,114.462,0,0,1,0,0,0,0.84
0.0526,0.715,238747,0.715,7tmtOEDxPN7CWaQWBsG1DY,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0.0936,-7.364,1,0.0904,134.923,0,0,1,0,0,0,0.506
0.000102,0.552,227200,0.932,24CRDgNOgA72JLL7PHFjgB,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.119,-3.782,1,0.0426,103.108,0,0,1,0,0,0,0.518
0.032,0.419,160067,0.803,104pmtTQOlmW8Zt2BipGKH,3.7e-05,0,0,1,0,0,0,0,0,0,0,0,1,0.206,-5.498,1,0.246,86.958,0,0,1,0,0,0,0.764
0.00604,0.421,224240,0.631,4QQg6DXsx6G3lv3W4A15CZ,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.322,-5.155,1,0.0537,170.045,0,0,1,0,0,0,0.18
0.378,0.746,253107,0.653,2EEeOnHehOozLq4aS0n6SL,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.229,-6.745,1,0.289,75.016,0,0,1,0,0,0,0.672
0.363,0.544,264320,0.551,7DqOEFNBLOfF2X24eXbG2z,2.14e-05,0,0,0,0,0,0,1,0,0,0,0,1,0.157,-7.112,1,0.0574,77.654,0,0,1,0,0,0,0.289
0.684,0.549,377013,0.363,38we3lrq4NEsMQ8PaJeer4,0.0148,0,0,0,0,0,0,0,1,0,0,0,1,0.373,-8.519,0,0.0282,144.999,0,0,1,0,0,0,0.452
0.191,0.766,188560,0.381,18Pz69u4fXrBrnLnRc3C7K,0.003,0,0,0,0,0,0,0,0,0,1,0,1,0.126,-9.499,1,0.0326,106.029,0,0,1,0,0,0,0.4
0.928,0.463,271560,0.123,6vIyrLqStTPvZ6zwdW0zNw,1.44e-06,0,0,0,0,0,0,0,0,1,0,0,1,0.136,-12.562,0,0.0408,136.618,0,0,1,0,0,0,0.259
0.671,0.788,244245,0.382,0NNKB1vQpy4eTeRFdalIDA,0.0622,0,0,0,0,0,0,1,0,0,0,0,1,0.109,-12.224,1,0.0394,99.965,0,0,1,0,0,0,0.212
0.0622,0.836,177920,0.74,0yiJNNm39cp1T7RnXOMVLX,0.0034,0,0,0,0,0,0,0,0,0,0,1,1,0.121,-4.77,0,0.057,101.986,0,0,1,0,0,0,0.445
0.0155,0.649,233762,0.802,4lbDMGKjMa3FaY9KEPORFr,0.00255,1,0,0,0,0,0,0,0,0,0,0,1,0.0652,-7.148,1,0.0328,123.036,0,0,1,0,0,0,0.163
0.00101,0.356,222587,0.924,7oK9VyNzrYvRFo7nQEYkWN,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0.0953,-3.74,1,0.0808,148.017,0,0,1,0,0,0,0.232
0.8,0.479,348533,0.433,1cu5PHumWAqQf9M6BHQ8b7,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0.14,-5.694,1,0.0333,120.444,0,0,1,0,0,0,0.317
